Année,Perimètre juridique,Valeur,Perimètre spatial,Indicateur,Unité
2020,Auchan,,France,Salariés en situation de handicap,nombre
2021,Auchan,,France,Salariés en situation de handicap,nombre
2022,Auchan,,France,Salariés en situation de handicap,nombre
2022,Carrefour,11281,France,Salariés en situation de handicap,nombre
2021,Carrefour,10902,France,Salariés en situation de handicap,nombre
2021,Decathlon,,France,Salariés en situation de handicap,nombre
2022,Decathlon,,France,Salariés en situation de handicap,nombre
2020,Decathlon,,France,Salariés en situation de handicap,nombre
2021,Decathlon,,France,Salariés en situation de handicap,nombre
2020,Auchan,4.0,France,Salariés en situation de handicap (%),pourcentage
2021,Auchan,4.6,France,Salariés en situation de handicap (%),pourcentage
2022,Auchan,4.1,France,Salariés en situation de handicap (%),pourcentage
2022,Carrefour,3.7,France,Salariés en situation de handicap (%),pourcentage
2021,Carrefour,3.4,France,Salariés en situation de handicap (%),pourcentage
2021,Decathlon,3.1,France,Salariés en situation de handicap (%),pourcentage
2022,Decathlon,3.2,France,Salariés en situation de handicap (%),pourcentage
2020,Decathlon,3.2,France,Salariés en situation de handicap (%),pourcentage
2021,Decathlon,3.1,France,Salariés en situation de handicap (%),pourcentage
