Année,Indicateur,Valeur,Perimètre juridique,Unité
2020,Salariés en situation de handicap,6936,Auchan,nombre
2021,Salariés en situation de handicap,7503,Auchan,nombre
2022,Salariés en situation de handicap,6577,Auchan,nombre
2021,Salariés en situation de handicap,10902,Carrefour,nombre
2022,Salariés en situation de handicap,11281,Carrefour,nombre
2023,Salariés en situation de handicap,13358,Carrefour,nombre
2021,Salariés en situation de handicap,222,CNP,nombre
2022,Salariés en situation de handicap,231,CNP,nombre
2023,Salariés en situation de handicap,254,CNP,nombre
2020,Salariés en situation de handicap,2999,Decathlon,nombre
2021,Salariés en situation de handicap,3198,Decathlon,nombre
2022,Salariés en situation de handicap,3332,Decathlon,nombre
2023,Salariés en situation de handicap,3525,Decathlon,nombre
2019,Salariés en situation de handicap,189,ENGIE,nombre
2020,Salariés en situation de handicap,155,ENGIE,nombre
2021,Salariés en situation de handicap,154,ENGIE,nombre
2019,Salariés en situation de handicap,5247,Orange,nombre
2020,Salariés en situation de handicap,4748,Orange,nombre
2021,Salariés en situation de handicap,3685,Orange,nombre
2020,Effectif,173412,Auchan,nombre
2021,Effectif,163098,Auchan,nombre
2022,Effectif,160407,Auchan,nombre
2021,Effectif,319565,Carrefour,nombre
2022,Effectif,305333,Carrefour,nombre
2023,Effectif,334640,Carrefour,nombre
2021,Effectif,3029,CNP,nombre
2022,Effectif,3102,CNP,nombre
2023,Effectif,3205,CNP,nombre
2020,Effectif,93710,Decathlon,nombre
2021,Effectif,103161,Decathlon,nombre
2022,Effectif,104116,Decathlon,nombre
2023,Effectif,100701,Decathlon,nombre
2019,Effectif,4045,ENGIE,nombre
2020,Effectif,4131,ENGIE,nombre
2021,Effectif,4023,ENGIE,nombre
2019,Effectif,79774,Orange,nombre
2020,Effectif,74471,Orange,nombre
2021,Effectif,69604,Orange,nombre
