,Indicateur,Périmètre,2020,2021,2022,Objectif,Commentaire
0,INTRODUCTIO,,,,,,
1,Notation ESG  (Moody's ESG Solution,,,,,,L'objectif 2022 a été atteint dès  2021.  L'évaluation 2022 est attendue  en mars 2023
2,,ELO,49,6,,60 en 2022,2  en mars 2023  Ce score reconnaît le niveau  de management avancé sur  lesenjeux climat au sein d'ELO
3,Notation CDP - Changemen  climatique,,,,,,"émissions de GES (scopes 1  et 2).  Le score A n'est pas atteint, car  le plan Climat n'est pas validé"
4,,ELO,B,B,B,A en2022,A en 2022  de validation est engagé  dès janvier 2023.
5,"PROPOSER UNE OFFRE ALIMENTAIRE SAINE, DE QUALITÉ ET RESPONSABLE","PROPOSER UNE OFFRE ALIMENTAIRE SAINE, DE QUALITÉ ET RESPONSABLE","PROPOSER UNE OFFRE ALIMENTAIRE SAINE, DE QUALITÉ ET RESPONSABLE","PROPOSER UNE OFFRE ALIMENTAIRE SAINE, DE QUALITÉ ET RESPONSABLE","PROPOSER UNE OFFRE ALIMENTAIRE SAINE, DE QUALITÉ ET RESPONSABLE","PROPOSER UNE OFFRE ALIMENTAIRE SAINE, DE QUALITÉ ET RESPONSABLE",
6,Le bien manger et la qualité nutritionnelle des produits,Le bien manger et la qualité nutritionnelle des produits,Le bien manger et la qualité nutritionnelle des produits,Le bien manger et la qualité nutritionnelle des produits,Le bien manger et la qualité nutritionnelle des produits,Le bien manger et la qualité nutritionnelle des produits,
7,Part des produits MDD et MDDi  avec un label nutritionnel  surlepackaging,Auchan  Retail,45%,48%,45 %,,MDD : marques de distributeur  MDDi: MDD internationales
8,S'ENGAGER AVEC DES COLLABORATEURS PASSIONNÉS,S'ENGAGER AVEC DES COLLABORATEURS PASSIONNÉS,S'ENGAGER AVEC DES COLLABORATEURS PASSIONNÉS,S'ENGAGER AVEC DES COLLABORATEURS PASSIONNÉS,S'ENGAGER AVEC DES COLLABORATEURS PASSIONNÉS,,
9,Structuration de l'emploi,,,,,,
10,Effectif total inscrit à la fin   de la période,Auchan  Retail,73412,163 098,60 407,,"Les effectifs d'ELO diminuent  légèrement de 1,7 % entre 2021  et 2022. Cette baisse d'effectifs  s'explique notamment par le"
11,Effectif total inscrit à la fin  de la période,New Immo,970,1 082,1 069,,et 2022. Cette baisse deffectifs  s'explique notamment par le  développement d'un  commerce de plus en plus  digitalisé avec la mise en  œuvre de processus optimisés  conduisant à quelques
12,Effectif total inscrit à la fi  de la période,ELO,74382,164180,161 468,,"métiers (informatique, data,  supply chain « dernier  kilomètre», etc.)."
13,Répartition hommes/femmes  eneffectif,ELO,65 294/  109088,61 942/  102 238,61 590/  99886,,
14,Part des salariés < 25 ans dans  l'effectif total,ELO,"15,3 %","15,3%","15,8%",,
15,Part des salariés [25 - 35 an  dans l'effectif total,ELO,205%,20%,"18,6 %",,
16,Part des salariés [35 - 50 ans]  dans l'effectif total,ELO,"38, 0 %","37,7 %","37,0 %",,
17,Part des salariés > = 50 ans dans  l'effectif total,ELO,,275%,"28,6%",,
18,Répartition des effectifs temps  complet/temps partiel,ELO,",3","3,3/26,7","73,8/26,2",,
19,Répartition des effectifs tem  complet/temps partiel,ELO,"73,6/26,4","73,3/26,7","73,8/26,2",,
20,Nombre de licenciements  (tous motifs) decollaborateur,ELO,32 449,,66,,
21,Taux de turnover des CD,ELO,"23,1","26,9","30,04",,
