,Indicateu,Périmètre,2020,2021,2022,Objectif,Commentaire
0,Le développement des collaborateurs,Le développement des collaborateurs,Le développement des collaborateurs,Le développement des collaborateurs,Le développement des collaborateurs,Le développement des collaborateurs,Le développement des collaborateurs
1,Taux de promotion interne,ELO,"29,3 %","35,3 %","29,6 %",,
2,Taux de promotion interne  des femmes,ELO,"31,6 %","38,8 %","34,8 %",,
3,Taux de promotion interne  des hommes,ELO,"27,1 %","31,4 %","23,6 %",,
4,Total des heures de formation,ELO,2 367 729,2 383 626,2 207 366,,
5,Part des heures de formation  sur le total des heures  travaillées,ELO,"0,9 %","1,0 %","1,0 %",,
6,Engagement des collaborateurs,Engagement des collaborateurs,Engagement des collaborateurs,Engagement des collaborateurs,Engagement des collaborateurs,Engagement des collaborateurs,Engagement des collaborateurs
7,Nombre de collaborateurs  engagés dans des actions RS,Auchan  Retail,11 649,21 068,71 349,,
8,La santé et la sécurité au travail,La santé et la sécurité au travail,La santé et la sécurité au travail,La santé et la sécurité au travail,La santé et la sécurité au travail,La santé et la sécurité au travail,La santé et la sécurité au travail
9,Taux de fréquence accidents  du travail avec arrêt,ELO,"23,8","21,4","19,22",,
10,Taux de gravité accidents  du travail avec arrêt,ELO,"0,7 %","0,8","0,9",,
11,Taux d'absentéisme  (cause maladie),ELO,"5,7 %","5,9 %","5,8 %",,
12,Le dialogue social,Le dialogue social,Le dialogue social,Le dialogue social,Le dialogue social,Le dialogue social,Le dialogue social
13,Nombre de réunions avec  les représentants du personne,ELO,8 527,6 006,5 131,,
14,Taux de salariés actionnaires  de l'entreprise,ELO,"72,8 %","73,3 %","73,7 %",,
15,La diversité et l'égalité des chances,La diversité et l'égalité des chances,La diversité et l'égalité des chances,La diversité et l'égalité des chances,La diversité et l'égalité des chances,La diversité et l'égalité des chances,La diversité et l'égalité des chances
16,Taux de salariés en situation  de handicap au 30/09/2020 -  AuchanRetail,Auchan  Retail,"4,0 %","4,6 %","4,1 %",,
17,Taux de salariés en situation  de handicap au 30/09/2020 -  Ceetrus,Ceetrus,"1,6 %","1,7 %","1,9 %",,
18,Répartition femme/homme  des effectifs totaux ELO (en %),ELO,"62,6/37,4","62,3/37,7","62,2/37,8",,
19,Répartition femme/homme  parmi les managers ELO (en %),ELO,"50,3/49,8","50,5/49,5","51,1/48,9",,
