,Thématiques,Objectif,Résultat  2023,Résultat  2022,Évolution,Cible
0,Nature des  embauches,Nombre de contrat à durée indéterminée,88 764,87 725,"1,2 %",
1,embauches,Nombre de contrat à durée déterminée,65 252,74 910,"(12,9) %",
2,,TOTAL,154 016,162 635,"(5,3) %",
3,Départs,Part de départ au sein de la catégorie Directeurs   Exécutifs,"0,05 %","0,04 %","0,01 pt",
4,,Part de départ au sein de la catégorie Directeurs   seniors,"0,08 %","0,07 %","0,01 pt",
5,,Part de départ au sein de la catégorie Directeurs,"0,56 %","0,5 %","0,06 pt",
6,,Part de départ au sein de la catégorie Cadres,"8,67 %","7,7 %","0,97 pt",
7,,Part de départ au sein de la catégorie Employés,"90,6 %","91,6 %",(1) pt,
8,,TOTAL,100 %,100 %,0 pt,
9,Attirerretenir et développer les talents,Attirerretenir et développer les talents,,,,
10,,Part des salariés ayant accès à une formation dans   l'année (disposant d'a minima 4h de formation)  (1),"68,9 %","77,6 %","(8,7) pts",50 % au  moins par  é
11,,Nombre moyen d'heures de formation par salariés,"9,2 %","11,3 %","(2,1) pts",
12,,Nombre total d'heures de formation dispensées dans   l'année (en millions),"3,5 %","3,5 %",0 pt,
13,Attraction des  talents,Évolution du nombre d'embauches,54 018,162 635,"(5,3) %",
14,Turnover et  ancienneté des  collaborateurs  (2),Taux d'attrition subie des Directeurs sénior Directeurs   et Directeurs Exécutifs,"3,4 %","4,5 %","(1,1) pt",
15,collaborateurs,Turn over,"29,7 %","29,2 %","0,5 pts",
16,,Ancienneté moyenne des collaborateurs (en années),"15,8%","15,9 %","(0,1) pt",
17,Promotion et  bilié i,Taux de promotion interne : total,9,9,0 pt,
18,Promotion et  bilié i,Taux de promotion interne : promotions Manager,50 %,51 %,(1) pt,
19,,Taux de promotion interne : promotions Directeur,50 %,51 %,(1) pt,
20,,Taux de promotion interne : promotions Directeur   senior,36 %,37 %,(1) pt,
21,,Taux de promotion interne : promotions Directeur   senior,36 %,37 %,(1) pt,
