,Thématique,Objectifs,Résultat  2023,Résultat  2022,Évolution,Cible
0,"Promouvoir la diversité et l'inclusion, lutter contre les discriminations et le harcèlement","Promouvoir la diversité et l'inclusion, lutter contre les discriminations et le harcèlement","Promouvoir la diversité et l'inclusion, lutter contre les discriminations et le harcèlement","Promouvoir la diversité et l'inclusion, lutter contre les discriminations et le harcèlement","Promouvoir la diversité et l'inclusion, lutter contre les discriminations et le harcèlement","Promouvoir la diversité et l'inclusion, lutter contre les discriminations et le harcèlement"
1,Égalité entre les  femmes et les,Part de femmes dirigeantes (top 200),"28,8 %","25,7 %","3,1 pts",35 % d'ici  2025
2,hommes,Part des femmes dans les nominations à des postes   clés,28%,"28,20 %","(0,2) pt",
3,,Part de femmes au Conseil d'administration,46 %,46 %,0 pt,
4,,Part des femmes au Comité Exécutif Groupe,"30,8 %","28,6 %","2,2 pts",
5,,Part des femmes Directeurs Exécutifs,"28,8 %","25,7 %","3,1 pts",
6,,art des femmes Directeurs seniors,"22,5 %","20,2 %","2,3 pts",
7,,Part des femmes Directeurs,"25,7 %","25,3 %","0,4 pts",
8,,Part des femmes managers,"43,9 %","43,7 %","0,2 pts",
9,,Part des femmes employées,"56,3 %","56,4 %","(0,1) pts",
10,,TOTAL GROUPE - PART DES FEMMES DANS LES   EFFECTIFS,55 %,"55,2 %","(0,2) pts",
11,,Part des femmes dans le management,"42,6 %","42,3 %","0,3 pts",
12,,Index d'égalité femmes/hommes en Franc,97/100,93/100,4 pts,
13,Salariés et clients en  situation de  (4),Nombre de salariés en situation de handicap dans le  Groupe,13 358,11 281,18 %,15 000  en 2026
14,handicap  (4),Pourcentage de salariés déclarés en situation de   handicap,"4,3 %","3,7 %","(0,6) pts",
15,Inclusion et égalité  (),Part des eectifs ayant moins de 30 ans,"32,9 %","34,5 %","(1,6) pts",
16,des chance  (5),Part des eectifs entre 30 et 50 ans (en %),"46,4 %",47 %,"(0,6) pts",
17,,Part des eectifs ayant plus de 50 ans (en %),"20,7 %","18,5 %","2,2 pts",
18,Garantir la santéla sécurité et la qualité de vie des équipes,Garantir la santéla sécurité et la qualité de vie des équipes,Garantir la santéla sécurité et la qualité de vie des équipes,Garantir la santéla sécurité et la qualité de vie des équipes,Garantir la santéla sécurité et la qualité de vie des équipes,Garantir la santéla sécurité et la qualité de vie des équipes
19,Préserver la santé  des collaborateurs et  prévenir les risques  d'accident du,Taux de fréquence des accidents du travail (nombre   d'accidents/millions d'heures travaillées),"31,4%","25,7%","6,1 pts",
20,des collaborateurs et  prévenir les risques  d'accident du  travail  (6),Taux de gravité des accidents du travail (nombre de   jours d'absence pour motif d'accident/1 000 heures   de travail),"2,1%",1%,"1,1 pt",
21,,Taux d'absence pour motif d'accident du travail et de   trajet,"0,77%","0,43 %","(0,2) pt",
22,,Taux d'absentéisme : maladie,"5,8%","6,34 %","(0,5) pt",
23,,Taux d'absentéisme : accident du travail,"0,7%","0,4 %","(0,3) pt",
24,,Taux d'absentéisme : accident de trajet,"0,08%","0,05 %","(0,02) pt",
25,Garantir le dialogue social,Garantir le dialogue social,Garantir le dialogue social,Garantir le dialogue social,Garantir le dialogue social,Garantir le dialogue social
26,Garantir le dialogue,% d'employés couverts par un accord collectif,100 %,99 %,1 pt,
27,soca,Nombre d'accords collectifs signés en France,78,77,"1,3 %",
