,Indicateurs,Valeur 2022,Valeur 2021,Évolution
0,Part des femmes dans les nominations à des postes clés,"28,2 %","28,5 %","(0,3) pt"
1,Part de femmes au Conseil d'administration,46 %,46 %,-
2,Part des femmes au Comité Exécutif Groupe    (1),"28,6 %",21 %,"+ 7,6 pts"
3,Part des femmes Directeurs Exécutifs    (2),"25,7 %","24,7 %",+ 1 pt
4,Part des femmes Directeurs seniors,"20,2 %","19,4 %","+ 0,8 pt"
5,Part des femmes Directeurs,"25,3 %","25,2 %","+ 0,1 pt"
6,Part des femmes managers,"43,7 %","43,7 %",-
7,Part des femmes employées,"56,4 %","57,1 %","(0,7) pt"
8,TOTAL GROUPE - PART DES FEMMES DANS LES EFFECTIFS,"55,2 %","55,6 %","(0,4) PT"
9,Part des femmes dans le management,"42,3 %","42,5 %","(0,2) pt"
