,"INFORMATIONS ""PROFIL DE L'ENTREPRISE""",2020,2021
0,CHAÎNE DE VALEUR | DISTRIBUTION & PRODUITS,,
1,Nombre d'utilisateur·rices sportif·ves,400 millions,424 millions
2,Nombre de pays de distribution,60,60 (note 6)
3,Nombre de magasins Decathlon dans le monde,1 697,1 747 (note 7)
4,"Nombre de nouveaux points de vente N/N-1 (en propre, hors franchises)",+84,+114 (note 8)
5,Nombre d'entrepôts et de plateformes logistiques,69,74 (note 9)
6,Nombre de marques de produits Decathlon,85,65 (note 10
7,Quantités de produits vendues (Md,"1,07","1,24"
8,CHAÎNE D'APPROVISIONNEMENT,,
9,Nombre de pays/régions de production,,
10, avec des équipes Decathlon physiquement présentes,24,25
11, sans équipe Decathlon physiquement présente,23,19
12,Nombre de bureaux de production Decathlon,42,43
13,Nombre de fournisseurs pour les produits Decathlon :,,
14, fournisseurs de rang 1 (composants & produits finis),977,930
15, fournisseurs de rang 2,362,355
16,Nombre de coéquipier·ères en charge  de la relation et animation des fournisseurs,2 178,2 245
17,Nombre de sites de production Decathlon en propre,9,9
