,NOMBRE DE NATIONALITÉS DES COÉQUIPIER·ÈRES  (20 PAYS/RÉGIONS) | DIVERSITÉ & INCLUSION,2020,2021
0,Nombre de nationalités en France (au 31/12),82,74
1,Nombre de nationalités en Espagne (au 31/12),54,52
2,Nombre de nationalités en Belgique (au 31/12),28,28
3,Nombre de nationalités en Italie (au 31/12),72,72
4,Nombre de nationalités en Chine (au 31/12),14,14
5,Nombre de nationalités au Portugal (au 31/12),8,10
6,Nombre de nationalités en Pologne (au 31/12),11,10
7,Nombre de nationalités en Allemagne (au 31/12),94,97
8,Nombre de nationalités en Russie (au 31/12,13,16
9,Nombre de nationalités en Hongrie (au 31/12),3,3
10,Nombre de nationalités en Inde (au 31/12),8,7
11,Nombre de nationalités au Brésil (au 31/12,9,8
12,Nombre de nationalités en République Tchèque (au 31/12),5,5
13,Nombre de nationalités en Turquie (au 31/12),3,4
14,Nombre de nationalités en Roumanie (au 31/12),7,9
15,Nombre de nationalités au Royaume-Uni (au 31/12),75,74
16,Nombre de nationalités au Maroc (au 31/12),3,3
17,Nombre de nationalités aux Pays-Bas (au 31/12,n/a,36
18,Nombre de nationalités au Mexique (au 31/12,n/a,9
19,Nombre de nationalités à Taïwan (au 31/12,n/a,11
