,ABSENTÉISME (20 PAYS/RÉGIONS),2020,2021
0,Taux d'absentéisme pour les contrats permanents (du 01/01 au 31/12),,
1, France,"3,5 %","3,1 % (note 37)"
2, Espagne,"3,8 %","3,7 %"
3, Belgique,n/a,n/a
4, Italie,"3,5 %","6,8 %"
5, Chine,n/a,n/a
6, Portugal,"2,2 %","2,6 %"
7, Pologne,"9,1 %","8,2 %"
8, Allemagne,n/a,n/a
9, Russie,"1,3 %",n/a
10, Hongrie,"4,6 %","5,5 %"
11, Inde,n/a,n/a
12, Brésil,"6,2 %","3,4 %"
13, République Tchèque,n/a,"4,2 %"
14, Turquie,"2,5 %","2,8 %"
15, Roumanie,"1,6 %","1,4 %"
16, Royaume-Uni,"2,2 %","2,4 %"
17, Maroc,"8,3 %","1,8 %"
18, Pays-Bas,n/a,"4,6 %"
19, Mexique,n/a,"10,9 %"
20, Taïwan,n/a,"0,2 %"
