,ACCIDENTS DU TRAVAIL (20 PAYS/RÉGIONS),2020,2021
0,NOMBRE D'ACCIDENTS DU TRAVAIL,,
1,Nombre d'accidents du travail ayant provoqué un arrêt (du 01/01 au 31/12) :,,
2, France,295,656
3, Espagne,214,255
4, Belgique,51 (note 38),64
5, Italie,91,134
6, Chine,32,26
7, Portuga,56,57
8, Pologne,39,39
9, Allemagne,94,103
10, Russie,n/a,5
11, Hongr,13,46
12, Inde,n/a,n/a
13, Brésil,15,15
14, République Tchèque,12,11
15, Turquie,45,80
16, Roumanie,2,14
17, Royaume-Uni,18,8
18, Maroc,18,34
19, Pays-Bas,n/a,13
20, Mexique,n/a,21
21, Taïwan,n/a,12
