,EMPLOI,,2020,2021
0,Effectif total (situation au 31/12),,93 710,103 161 (note 1
1,Effectif par genre (situation au 31/12) :,Effectif par genre (situation au 31/12) :,,
2, % femmes, % femmes,"46,5 %","46,7 %"
3, % hommes, % hommes,"53,5 %","53,3 %"
4,Effectif par tranche d'âge (situation au 31/12) :,Effectif par tranche d'âge (situation au 31/12) :,,
5, % moins de 20 ans, % moins de 20 ans,"3,8 %","4,7 %"
6, % de 20 ans à 29 ans, % de 20 ans à 29 ans,"55,5 %","54,4 %"
7, % de 30 ans à 39 ans, % de 30 ans à 39 ans,"29,1 %","28,8 %"
8, % de 40 ans à 49 ans, % de 40 ans à 49 ans,"8,6 %","8,8 %"
9, % 50 ans et plus 31%, % 50 ans et plus 31%,"3,1 %","3,3 %"
10,Effectif par zone géographique (situation au 31/12) :,Effectif par zone géographique (situation au 31/12) :,,
11, % Europe & Russie, % Europe & Russie,"70,6 %","69,4 %"
12, % Asie, % Asie,"20,4 %","20,3 %"
13, % Afrique & Moyen-Orient, % Afrique & Moyen-Orient,"4,3 %","4,7 %"
14, % Amériques, % Amériques,"4,4 %","5,3 %"
15, % Océanie, % Océanie,"0,4 %","0,3 %"
16,Effectif par activités (situation au 31/12) :,Effectif par activités (situation au 31/12) :,,
17, % commerce et services, % commerce et services,"75,9 %",77 %
18, % logistique, % logistique,"13,1 %","12,1 %"
19, % conception/production, % conception/production,"5,3 %","5,2 %"
20, % métiers supports, % métiers supports,"5,7 %","5,7 %"
