,ACCIDENTS DU TRAVAIL (20 PAYS/RÉGIONS),NS),2020,2021
0,Taux de fréquence des accidents du travail  ayant provoqué un arrêt (du 01/01 au 31/12) :,,,(Note 39)
1, France,,n/a,21
2, Espagne,,n/a,19
3, Belgique,,n/a,19
4, Italie,,n/a,14
5, Chine,,n/a,2
6, Portugal,,n/a,22
7, Pologne,,n/a,7
8, Allemagne,,n/a,24
9, Russie,,n/a,1
10, Hongrie,,n/a,22
11, Inde,,n/a,n/a
12, Brésil,,n/a,4
13, République Tchèque,,n/a,7
14, Turquie,,n/a,23
15, Roumanie,,n/a,"5,7"
16, Royaume-Uni,,n/a,4
17, Maroc,,n/a,20
18, Pays-Bas,,n/a,8
19, Mexique,,n/a,33
20, Taïwan,,n/a,9
