,LEADERSHIP | DIVERSITÉ & INCLUSION (20 PAYS/RÉGIONS),2020,2021
0,% de femmes leaders (situation au 31/12),,(Note 40)
1, % de femmes leaders en France,"27,1 %","28,6 %"
2, % de femmes leaders en Espagne,"42,7 %","42,6 %"
3, % de femmes leaders en Belgique,"25,9 %",27 %
4, % de femmes leaders en Italie,"34,6 %","35,7 %"
5, % de femmes leaders en Chine,"52,2 %","51,7 %"
6, % de femmes leaders au Portugal,"32,8 %","32,9 %"
7, % de femmes leaders en Pologne,"51,4 %","53,8 %"
8, % de femmes leaders en Allemagne,"42,3 %","42,8 %"
9, % de femmes leaders en Russie,"51,6 %",54 %
10, % de femmes leaders en Hongrie,"50,8 %","53,5 %"
11, % de femmes leaders en Inde,"14,9 %","17,7 %"
12, % de femmes leaders au Brésil,"32,2 %","35,7 %"
13, % de femmes leaders en République Tchèque,37 %,"39,2 %"
14, % de femmes leaders en Turquie,32 %,31 %
15, % de femmes leaders en Roumanie,"44,3 %","42,8 %"
16, % de femmes leaders au Royaume-Uni,"40,4 %","44,2 %"
17, % de femmes leaders au Maroc,"38,8 %","36,9 %"
18, % de femmes leaders aux Pays-Bas,n/a,"30,1 %"
19, % de femmes leaders au Mexiqu,n/a,"39,5 %"
20, % de femmes leaders à Taïwan,n/a,"51,6 %"
