,EMPLOI ET INSERTION DES PERSONNES HANDICAPÉES   (20 PAYS/RÉGIONS) I DIVERSITÉ & INCLUSION,2020,2021
0,Taux de coéquipier·ères avec reconnaissance handicap (situation au 31/12) :,Taux de coéquipier·ères avec reconnaissance handicap (situation au 31/12) :,Taux de coéquipier·ères avec reconnaissance handicap (situation au 31/12) :
1, France,"3,2 %","3,1 % (note 41)"
2, Espagne,"2,1 %","2,1 %"
3, Belgique,n/a,n/a
4, Italie,4 %,"3,6 %"
5, Chine,"0,1 %","0,1 %"
6, Portugal,"0,7 %","0,8 %"
7, Pologne,"0,7 %","0,7 %"
8, Allemagne,1 %,"0,7 %"
9, Russie,"0,2 %","0,4 %"
10, Hongrie,"0,9 %","0,9 %"
11, Inde,"0,4 %","0,5 %"
12, Brésil,"0,1 %",1 %
13, République Tchèque,"0,5 %","0,3 %"
14, Turquie,"1,5 %","1,1 %"
15, Roumanie,"2,4 %","2,8 %"
16, Royaume-Uni,"0,1 %","0,1 %"
17, Maroc,"0,2 %","0,4 %"
18, Pays-Bas,n/a,n/a
19, Mexique,n/a,"0,2 %"
20, Taïwan,n/a,"1,2 %"
