,DIVERSITÉ & INCLUSION,2020,2021
0,DIVERSITÉ & GENRE,,
1,Répartition des coéquipier·ères par genre (situation au 31/12) :,,
2,Monde :,,
3, % femmes,"46,5 %","46,7 % (note 14)"
4, % hommes,"53,5 %","53,3 %"
5,Europe & Russie :,,
6, % femmes,"47,8 %","47,9 %"
7, % hommes,"52,2 %","52,1 %"
8,Asie :,,
9, % femmes,"44,4 %","44,9 %"
10, % hommes,"55,6 %","55,1 %"
11,Afrique & Moyen-Orient :,,
12, % femmes,"40,5 %","42,4 %"
13, % hommes,"59,5 %","57,6 %"
14,Amériques :,,
15, % femmes,42 %,"42,1 %"
16, % hommes,58 %,"57,9 %"
17,Océanie :,,
18, % femmes,"43,7 %","41,4 %"
19, % hommes,"56,3 %","58,6 %"
20,tes méthodologiques DPEF 2021,,
