,"INFORMATIONS ""PROFIL DE L'ENTREPRISE""",2021,2022
0,CHAÎNE DE VALEUR | DISTRIBUTION ET PRODUITS,,
1,Nombre d'utilisateur·trices sportif·ves,424 millions,441 millions
2,Nombre de pays/régions de distribution,60,59 (note 5)
3,Nombre de magasins Decathlon dans le monde,1 747,1 751 (note 6)
4,"Nombre de nouveaux points de vente N/N-1 (en propre, hors franchises)",+ 114,+ 68 (note 7
5,Nombre d'entrepôts et de plateformes logistiques,74,74
6,Nombre de marques de produits Decathlon,65,36 (note 8
7,Quantités de produits vendues (Mds),"1,24","1,26"
8,CHAÎNE D'APPROVISIONNEMENT,,
9,Nombre de pays/régions de production :,,
10, avec des équipes Decathlon physiquement présentes,25,23
11, sans équipes Decathlon physiquement présentes,19,20
12,Nombre de bureaux de production Decathlon,43,42 (note 9)
13,Nombre de fournisseurs pour les produits Decathlon :,,
14, fournisseurs de rang 1 (composants et produits finis),930,956
15, fournisseurs de rang 2,355,311
16,Nombre de coéquipier·ères en charge de la relation et animation des fournisseurs,2 245,2 429
17,Nombre de sites de production Decathlon en prop,9,9
