,NOMBRE DE NATIONALITÉS DES COÉQUIPIER·ÈRE  (23 PAYS/RÉGIONS) | DIVERSITÉ ET INCLUSION,2021,2022
0,Nombre de nationalités en France (au 31/12),74,74
1,Nombre de nationalités en Espagne (au 31/12),52,52
2,Nombre de nationalités en Belgique (au 31/12),28,32
3,Nombre de nationalités en Italie (au 31/12),72,71
4,Nombre de nationalités en Chine continentale (au 31/12),14,18
5,Nombre de nationalités au Portugal (au 31/12),10,10
6,Nombre de nationalités en Pologne (au 31/12),10,8
7,Nombre de nationalités en Allemagne (au 31/12),97,82
8,Nombre de nationalités en Russie (au 31/12),16,8
9,Nombre de nationalités en Hongrie (au 31/12),3,6
10,Nombre de nationalités en Inde (au 31/12),7,5
11,Nombre de nationalités au Brésil (au 31/12),8,6
12,Nombre de nationalités en République Tchèque (au 31/12),5,6
13,Nombre de nationalités en Turquie (au 31/12),4,6
14,Nombre de nationalités en Roumanie (au 31/12),9,6
15,Nombre de nationalités au Royaume-Uni (au 31/12),74,72
