,ENTRÉES ET SORTIES DES COÉQUIPIER·ÈRE  (23 PAYS/RÉGIONS) | EMPLOI.TURNOVER,2021.,2022.
0,Taux de turnover sur les effectifs permanent (du 01/01 au 31/12) :,,(note 25
1, France,"19,3 %","21,1 %"
2, Espagne,"19,1 %","28,9 %"
3, Belgique,"13,8 %","16,1 %"
4, Italie,"9,2 %","10,7 %"
5, Chine continentale,"36,7 %","24,7 %"
6, Portugal,"18,4 %","21,8 %"
7, Pologne,"22,6 %","26,1 %"
8, Allemagne,"25,7 %","55,6 %"
9, Russie,"38,9 %","75,1 %"
10, Hongrie,"31,7 %","28,8 %"
11, Inde,"40,2 %",55 %
12, Brési,"47,5 %","44,1 %"
13, République Tchèque,"25,3 %","24,8 %"
14, Turquie,"66,4 %","65,2 %"
15, Roumanie,"40,2 %","23,9 %"
16, Royaume-Uni,45 %,"42,5 %"
17, Maroc,"77,8 %","67,6 %"
18, Pays-Bas,30 %,"38,2 %"
19, Mexique,"35,8 %","52,4 %"
20, Taïwan,"44,8 %","53,1 %"
21, Suisse,n/a,"31,5 %"
22, Singapou,n/a,"73,3 %"
23, Canada,n/a,84 %
24, Canada,n/a,84 %
