,ABSENTÉISME (23 PAYS/RÉGIONS,2021,2022
0,Taux d'absentéisme pour les contrats permanents (du 01/01 au 31/12) :,,(note 27
1, France,"3,1 %","4,4 %"
2, Espagne,"3,7 %","3,3 %"
3, Belgique,n/a,n/a
4, Italie,"6,8 %",6 %
5, Chine continentale,n/a,8 %
6, Portugal,"2,6 %","3,3 %"
7, Pologne,"8,2 %","8,5 %"
8, Allemagne,n/a,8 %
9, Russie,n/a,"0,1 %"
10, Hongrie,"5,5 %","5,7 %"
11, Inde,n/a,n/a
12, Brésil,"3,4 %","4,8 %"
13, République Tchèque,"4,2 %","5,3 %"
14, Turquie,"2,8 %","3,1 %"
15, Roumanie,"1,4 %","1,2 %"
16, Royaume-Uni,"2,4 %","2,5 %"
17, Maroc,"1,8 %",3 %
18, Pays-Bas,"4,6 %","5,7 %"
19, Mexique,"10,9 %","8,9 %"
20, Taïwan,"0,2 %","0,3 %"
21, Suisse,n/a,"5,9 %"
22, Singapou,n/a,"2,6 %"
23, Canada,n/a,7 %
