,ACCIDENTS DU TRAVAIL (23 PAYS/RÉGIONS),2021,2022
0,NOMBRE D'ACCIDENTS DU TRAVAIL,NOMBRE D'ACCIDENTS DU TRAVAIL,NOMBRE D'ACCIDENTS DU TRAVAIL
1,Nombre d'accidents du travail ayant provoqué un arrêt (du 01/01 au 31/12),,(note 28)
2, France,656,657
3, Espagne,255,264
4, Belgique,64,46
5, Italie,134,126
6, Chine continentale,26,28
7, Portugal,57,33
8, Pologne,39,45
9, Allemagne,103,71
10, Russie,5,3
11, Hongrie,46,42
12, Inde,n/a,11
13, Brésil,15,13
14, République Tchèque,11,17
15, Turquie,80,77
16, Roumanie,14,6
17, Royaume-Uni,8,11
18, Maroc,34,27
19, Pays-Bas,13,14
20, Mexique,21,3
21, Taïwan,12,16
22, Suisse,n/a,46
23, Singapour,n/a,2
24, Canada,n/a,8
25, Canada,n/a,8
