,ACCIDENTS DU TRAVAIL (23 PAYS/RÉGIONS),ACCIDENTS DU TRAVAIL (23 PAYS/RÉGIONS),2021,2022
0,NOMBRE D'ACCIDENTS DU TRAVAIL,NOMBRE D'ACCIDENTS DU TRAVAIL,,
1,Taux de fréquence des accidents du travail  ayant provoqué un arrêt (du 01/01 au 31/12) :,,,(note 28)
2, France,,21,19
3, Espagne,,19,17
4, Belgique,,19,14
5, Italie,,14,12
6, Chine continentale,,2,n/a (note 28
7, Portugal,,22,12
8, Pologne,,7,8
9, Allemagne,,24,14
10, Russie,,1,1
11, Hongrie,,22,18
12, Inde,,n/a,1
13, Brésil,,4,3
14, République Tchèque,,7,8
15, Turquie,,23,22
16, Roumanie,,"5,7",2
17, Royaume-Uni,,4,4
18, Maroc,,20,16
19, Pays-Bas,,8,8
20, Mexique,,33,3
21, Taïwan,,9,12
22, Suisse,,n/a,34
23, Singapou,,n/a,1
24, Canada,,n/a,6
