,LEADERSHIP | DIVERSITÉ ET INCLUSION (23 PAYS/RÉGIONS),2021,2022
0,% de femmes leaders (situation au 31/12),,(note 29
1, France,"28,6 %","28,8 %"
2, Spain,"42,6 %","43,9 %"
3, Belgium,27 %,"27,4 %"
4, Italy,"35,7 %","38,7 %"
5, Mainland China,"51,7 %","51,6 %"
6, Portugal,"32,9 %","36,6 %"
7, Poland,"53,8 %","52,9 %"
8, Germany,"42,8 %","39,5 %"
9, Russia,54 %,"42,5 %"
10, Hungary,"53,5 %","48,5 %"
11, India,"17,7 %","18,2 %"
12, Brazil,"35,7 %","37,8 %"
13, Czech Republ,"39,2 %","41,4 %"
14, Turkey,31 %,"33,3 %"
15, Romania,"42,8 %","42,8 %"
16, United Kingdom,"44,2 %","40,4 %"
17, Morocco,"36,9 %",42 %
18, Netherlands,"30,1 %","31,5 %"
19, Mexico,"39,5 %","42,9 %"
20, Taiwan,"51,6 %","55,2 %"
21, Switzerland,n/a,"31,8 %"
22, Singapore,n/a,"31,8 %"
23, Canada,n/a,"28,2 %"
