,EMPLOI ET INSERTION DES PERSONNES HANDICAPÉE  (23 PAYS/RÉGIONS) I DIVERSITÉ ET INCLUSION,2021,2022
0,Taux de coéquipier·ères avec reconnaissance handicap (situation au 31/12) :,,
1, % France,"3,1 %","3,2 % (note 30)"
2, % Espagne,"2,1 %",2 %
3, % Belgique,n/a,n/a
4, % Italie,"3,6 %","3,8 %"
5, % Chine continentale,"0,1 %","0,1 %"
6, % Portugal,"0,8 %","0,7 %"
7, % Pologne,"0,7 %","0,9 %"
8, % Allemagne,"0,7 %","0,6 %"
9, % Russie,"0,4 %","0,5 %"
10, % Hongrie,"0,9 %","1,1 %"
11, % Inde,"0,5 %","0,7 %"
12, % Brésil,1 %,"2,2 %"
13, % République Tchèque,"0,3 %","0,3 %"
14, % Turquie,"1,1 %","1,6 %"
15, % Roumanie,"2,8 %","3,5 %"
16, % Royaume-Uni,"0,1 %","0,1 %"
17, % Maroc,"0,4 %","0,2 %"
18, % Pays-Bas,n/a,"0,2 %"
19, % Mexique,"0,2 %","0,2 %"
20, % Taïwan,"1,2 %","1,5 %"
21, % Suisse,n/a,"0,2 %"
22, % Singapou,n/a,"0,4 %"
23, % Canada,n/a,n/a
