,EMPLOI,EMPLOI,2021,2022
0,Effectif total (situation au 31/12),,103 161,104 116 (note 10
1,Effectif par genre (situation au 31/12),Effectif par genre (situation au 31/12),,
2, % femmes, % femmes,"46,7 %","46,3 %"
3, % hommes, % hommes,"53,3 %","53,7 %"
4,Effectif par tranche d'âge (situation au 31/12),Effectif par tranche d'âge (situation au 31/12),,
5, % moins de 20 ans, % moins de 20 ans,"4,7 %","5,1 %"
6, % de 20 ans à 29 ans, % de 20 ans à 29 ans,"54,4 %","51,7 %"
7, % de 30 ans à 39 ans, % de 30 ans à 39 ans,"28,8 %","29,8 %"
8, % de 40 ans à 49 ans, % de 40 ans à 49 ans,"8,8 %","9,6 %"
9, % 50 ans et plus, % 50 ans et plus,"3,3 %","3,8 %"
10,Effectif par zone géographique (situation au 31/12),Effectif par zone géographique (situation au 31/12),Effectif par zone géographique (situation au 31/12),Effectif par zone géographique (situation au 31/12)
11, % Europe et Russie, % Europe et Russie,"69,4 %","68,8 %"
12, % Asie, % Asie,"20,3 %","20,6 %"
13, % Afrique et Moyen-Orient, % Afrique et Moyen-Orient,"4,7 %",5 %
14, % Amériques, % Amériques,"5,3 %","5,3 %"
15, % Océanie, % Océanie,"0,3 %","0,3 %"
16,Effectif par activité (situation au 31/12),Effectif par activité (situation au 31/12),,
17, % commerce et services Web, % commerce et services Web,77 %,"76,6 %"
18, % logistique, % logistique,"12,1 %","11,3 %"
19, % conception/production, % conception/production,"5,2 %","5,5 %"
20, % métiers supports, % métiers supports,"5,7 %","6,6 %"
