,DROITS HUMAINS DANS LA CHAÎNE DE VALEUR,2021,2022
0,FOCUS SUR LES RÉSULTATS RHP | DROITS HUMAINS,,
1,"% des sites de production évalués A, B ou C  lors des évaluations RHP (situation au 31/12) :",,
2," % des sites de production de rang 1 évalués A, B ou",78 %,"86,7 % (note 36)"
3," % des sites de production de rang 2 évalués A, B ou",57 %,"61,8 % (note 36)"
4,Résultats des évaluations RHP des Partenaires  t itddti,,
5," % des sites de production en propre évalués A, B ou C",78 %,67 % (note 37)
6,,91 %,93 %
7,,A : 1 %,A : 1%
8,,C : 50%,B : 42%
9,p,104 sites de production  des fournisseurs  partenaires évalués  AB ou C,118 sites de productio  des fournisseurs  partenaires évalués  AB ou C (note 38)
