,DIVERSITÉ ET INCLUSION.DIVERSITÉ ET GENRE.Répartition des coéquipier·ères par genre (situation au 31/12),2021..,2022..
0,Monde :,,
1, % femmes,"46,7 %","46,3 % (note 13"
2, % hommes,"53,3 %","53,7 %"
3,Europe et Russie,,
4, % femmes,"47,9 %","47,2 %"
5, % hommes,"52,1 %","52,8 %"
6,Asie :,,
7, % femmes,"44,9 %",45 %
8, % hommes,"55,1 %",55 %
9,Afrique et Moyen-Orient,,
10, % femmes,"42,4 %","42,4 %"
11, % hommes,"57,6 %","57,6 %"
12,Amériques :,,
13, % femmes,"42,1 %","43,4 %"
14, % hommes,"57,9 %","56,6 %"
15,Océanie :,,
16, % femmes,"41,4 %","38,6 %"
17, % hommes,"58,6 %","61,4 %"
