,0,1,2,3
0,RÉSULTATS DE L'ENQUÊTE DECATHLON TEAMMATES BAROMETER (DTB) 20,RÉSULTATS DE L'ENQUÊTE DECATHLON TEAMMATES BAROMETER (DTB) 20,2021,2022
1,% de coéquipier·ères ayant répondu  à l'Enquête Decathlon Teammates Barometer,% de coéquipier·ères ayant répondu  à l'Enquête Decathlon Teammates Barometer,81 %,83 % (note 16
2,Nombre de de coéquipier·ères répondants à l'enquête DTB,Nombre de de coéquipier·ères répondants à l'enquête DTB,70 405,72 361
3,"% ayant répondu ""Oui tout à fait"" ou ""Plutôt Oui"" à la question :",,,
4,ÊTRE SOI-MÊME,,,
5, Je peux m'exprimer ET je suis écouté·e, Je peux m'exprimer ET je suis écouté·e,92 %,92 %
6, Je peux être moi-même dans mes actions au quotidien, Je peux être moi-même dans mes actions au quotidien,94 %,93 %
7, Je suis considéré·e avec respect, Je suis considéré·e avec respect,94 %,94 %
8,JE VIS LE SENS ET LES VALEURS,JE VIS LE SENS ET LES VALEURS,,
9, Je suis fier·e et heureux·se de travailler chez Decathlon, Je suis fier·e et heureux·se de travailler chez Decathlon,93 %,93 %
10,Je suis fiere et heureuxse de travailler chez Decathlon,Je suis fiere et heureuxse de travailler chez Decathlon,88 %,88 %
11," Nos valeurs Vitalité, Responsabilité, Générosité et Authenticité vivent autour de moi"," Nos valeurs Vitalité, Responsabilité, Générosité et Authenticité vivent autour de moi",93 %,93 %
12,,,95 %,96 % (note 17)
13,JE PRENDS DES DÉCISIONSJE SUIS ACTEUR·TRICE DU PROJET D'ÉQUIPE,JE PRENDS DES DÉCISIONSJE SUIS ACTEUR·TRICE DU PROJET D'ÉQUIPE,,
14, J'ai une mission mesurable avec des KPI clairs, J'ai une mission mesurable avec des KPI clairs,84 %,85 %
15, Je suis acteur·trice de la préservation de l'environnement :  ma mission intègre au moins un KPI planète sur lequel je suis animé·e, Je suis acteur·trice de la préservation de l'environnement :  ma mission intègre au moins un KPI planète sur lequel je suis animé·e,n/a,74 % (note 17)
16, Je prends les décisions sur les sujets qui me concernent et j'en mesure les conséquences, Je prends les décisions sur les sujets qui me concernent et j'en mesure les conséquences,94 %,94 %
17," Avant de décider, je prends l'avis des Decathlonien·nes concerné·es par ma décision"," Avant de décider, je prends l'avis des Decathlonien·nes concerné·es par ma décision",97 %,97 %
18," Chez Decathlon, j'ai le droit à l'erreur : j'ose, je teste, j'apprends et je corrige"," Chez Decathlon, j'ai le droit à l'erreur : j'ose, je teste, j'apprends et je corrige",95 %,95 %
19,JE ME DÉVELOPPE / JE GRANDIS PAR LA RESPONSABILITÉ,JE ME DÉVELOPPE / JE GRANDIS PAR LA RESPONSABILITÉ,,
20, Je suis accompagné·e sur mes savoir-faire, Je suis accompagné·e sur mes savoir-faire,85 %,86 %
21, Je suis accompagné·e sur mon développement personnel, Je suis accompagné·e sur mon développement personnel,83 %,84 %
22,,,86 %,87 %
23," J'ai un entretien annuel d'activité pour évaluer mes performances, mesurer"," J'ai un entretien annuel d'activité pour évaluer mes performances, mesurer",92 %,93 %
