,RÉSULTATS DE L'ENQUÊTE DECATHLON TEAMMATES BAROMETER (DTB),2021,2022
0,JE JOUE COLLECTIF,,
1, Nous pratiquons du sport et fêtons les victoires ensemble,80 %,85 %
2, Je me sens en sécurité dans mon environnement de travail,94 %,94 %
3, La communication au sein de mon équipe est efficace et transparente,86 %,86 %
4, Dans notre équipe nous avons des engagements environnementaux clairs  et motivants dont je suis fier·e,n/a,79 % (note 17)
5," Dans mon équipe, nous sommes solidaires et nous nous entraidons",94 %,94 %
6,JE CRÉE DE LA VALEUR,,
7," Je crée de la valeur humaine, environnementale et économique pour le projet d'entreprise",94 %,93 %
8, Je fais partie d'un collectif ou d'une équipe à qui je fais régulièrement état  de mes avancées par rapport aux engagements que j'ai pris vis-à-vis d'eux,91 %,90 %
9, Ma rémunération est juste au regard de mes responsabilités et de mes performances,60 %,62 %
10, Je suis associé·e aux performances de Decathlon. Nous partageons la valeur créée ensemble,85 %,88 %
11, Je me sens copropriétaire de Decathlon par mon actionnariat,70 %,73 %
12,SYNTHÈSE,,
13," Je suis heureux·se de venir travailler tous les matins au service de notre projet,  de mon projet et du sens de notre entreprise",91 %,91 %
