,RÉSULTATS DE L'ENQUÊTE DECATHLON   TEAMMATES BAROMETER (DTB),2022,2023
0,"JE PERFORME, NOUS CRÉONS DE LA VALEUR",,
1," Je crée de la valeur humaine, environnementale  et économique pour le projet d'entreprise",93 %,93 %
2, Ma rémunération est juste au regard  de mes responsabilités et de mes performan,62 %,58 %
3, Je suis associé·e aux performances de Decathlon.  Nous partageons la valeur créée ensemble,88 %,85 %
4, Je me sens copropriétaire de Decathlon par mon actionnariat,73 %,71 %
5, J'ai une mission mesurable avec des KPI clairs,85 %,83 %
6, Je suis acteur·trice de la préservation de l'environnement   ma mission intègre au moins un KPI planète sur lequel  je suis animé·e,74 %,76 %
7, Je rends régulièrement compte de mes progrès par rapport  à mes engagements auprès du collectif avec lequel je travaill,90 %,87 %
8,JE ME SENS CONSIDÉRÉ·E ET À MA PLACE,,
9, Je peux être moi-même dans mes actions au quotidien,93 %,91 %
10, Je suis considéré·e avec respect,94 %,94 %
11, Je me sens en sécurité physique  dans mon environnement de travai,94 %,94 %
12, Je me sens en sécurité psychologiqu  dans mon environnement de travail,n/a,87 %
13, J'apprécie la diversité que Decathlon apporte  à l'équipe et à son leadership,n/a,91 %
14," Je peux prendre soin de mon bien-être et  je me sens soutenu·e (ex : sport, équilibre vie  fillt ll)",n/a,83 %
15,ENSEMBLE NOUS GAGNONS EN ÉQUIPE,,
16, La communication au sein de mon équi  t tt tt,86 %,87 %
17, Nous pratiquons du sport et fêtons les victoires ensemble,85 %,79 %
18," Dans mon équipe, nous sommes solidaires  i",94 %,94 %
19,EN CONCLUSION,,
20," En synthèse, je suis heureux·se de venir travailler  tous les matins au service de notre projet, de mon  projet et dsens de notre entreprise",91 %,89 %
