,DIVERSITÉ ET INCLUSION,2022,2023
0,DIVERSITÉ & GENRE (PÉRIMÈTRE MONDE),,
1,Monde :,,(Note 92)
2, % femmes,"46,3 %","46,1 %"
3, % hommes,"53,7 %","53,9 %"
4,Europe :,,
5, % femmes,"47,2 %","46,8 %"
6, % hommes,"52,8 %","53,2 %"
7,Asie :,,
8, % femmes,"45,0 %","44,9 %"
9, % hommes,"55,0 %","55,1 %"
10,Afrique & Moyen-Orient :,,
11, % femmes,"42,4 %","43,8 %"
12, % hommes,"57,6 %","56,2 %"
13,Amériques :,,
14, % femmes,"43,4 %","44,7 %"
15, % hommes,"56,6 %","55,3 %"
16,Océanie :,,
17, % femmes,"38,6 %","39,3 %"
18, % hommes,"61,4 %","60,7 %"
