,0,1,2
0,Taux de coéquipier·ères avec reconnaissance  handicap (situation au 31/12) :,,(Note 95)
1, France,"3,2 %","3,5 %"
2, Espagne,"2,0 %","2,3 %"
3, Belgique,n,n/a
4, Italie,"3,8 %","3,9 %"
5, Chine continentale,"0,1 %","0,1 %"
6, Portugal,"0,7 %","0,9 %"
7, Pologne,"0,9 %","1,1 %"
8, Russie,"0,5 %",-
9, Allemagn,"0,6 %","0,5 %"
10, Hongrie,"1,1 %","1,2 %"
11, Inde,"0,7 %","0,6 %"
12, Brésil,"2,2 %","2,4 %"
13, République Tchèque,"0,3 %","0,3 %"
14, Turquie,"1,6 %","1,2 %"
15, Roumanie,"3,5 %","3,8 %"
16, Royaume-Uni,"0,1 %","0,0 %"
17, Maroc,"0,2 %","0,3 %"
18, Mexique,"0,2 %","0,2 %"
19, Pays-Bas,"0,2 %",n/a
20, Taïwan,"1,5 %","1,5 %"
21, Suisse,"0,2 %","0,3 %"
22, Singapour,"0,4 %","0,4 %"
23, Canada,n/a,"2,1 %"
