,SANTÉ ET SÉCURITÉ,2022,2023
0,ACCIDENTS DU TRAVAIL (PÉRIMÈTRE 22 PAYS/RÉGIONS),ACCIDENTS DU TRAVAIL (PÉRIMÈTRE 22 PAYS/RÉGIONS),ACCIDENTS DU TRAVAIL (PÉRIMÈTRE 22 PAYS/RÉGIONS)
1,Taux de fréquence des accidents du travail  ayant provoqué un arrêt (du 01/01 au 31/12) :,,(Note 98)
2, France,19,17
3, Espagne,17,15
4, Belgique,14,12
5, Italie,12,13
6, Chine continentale,n/a,1
7, Portugal,12,13
8, Pologne,8,8
9, Russie,1,-
10, Allemagne,14,16
11, Hongrie,18,19
12, Inde,1,1
13, Brésil,3,8
14, République Tchèque,8,7
15, Turquie,22,13
16, Roumanie,2,3
17, Royaume-Uni,4,4
18, Maroc,16,5
19, Mexique,3,6
20, Pays-Bas,8,12
21, Taïwan,12,1
22, Suisse,34,9
23, Singapour,1,1
24, Canada,6,8
25,Nombre de décès résultant d'accidents du travail  ou de maladies professionnelles (du 01/01 au 31/12),n/a,
26,Nombre de décès résultant d'accidents du travail  ou de maladies professionnelles (du 01/01 au 31/12),n/a,0 (Note 99)
