,BIEN-ÊTRE DES COÉQUIPIER·ÈRES   ÉÈ,BIEN-ÊTRE DES COÉQUIPIER·ÈRES   ÉÈ,2022,2023
0,EFFECTIFS - PÉRIMÈTRE MONDE,EFFECTIFS - PÉRIMÈTRE MONDE,EFFECTIFS - PÉRIMÈTRE MONDE,EFFECTIFS - PÉRIMÈTRE MONDE
1,Effectif total (situation au 31/12),,104 116,100 701 (Note 85)
2,Effectif par genre (situation au 31/12) :,Effectif par genre (situation au 31/12) :,,
3, Nombre de femmes, Nombre de femmes,"48 204 (46,3 %)","46 432 (46,1 %)"
4, Nbd'h, Nbd'h,"55 912 (53,7 %)","54 269 (53,9 %)"
5,Notes méthodologiques DPEF 2023,Notes méthodologiques DPEF 2023,Notes méthodologiques DPEF 2023,Notes méthodologiques DPEF 2023
6,"Note 85 : Cet indicateur prend en compte les coéquipier·ères en contrat   31/12/2023, en fonction de la législation en vigueur dans chaque pays.","Note 85 : Cet indicateur prend en compte les coéquipier·ères en contrat   31/12/2023, en fonction de la législation en vigueur dans chaque pays.","permanent, et autres contrats",
7, France, France,24 691,23 489
8, Espagne, Espagne,10 875,10 917
9, Belgique, Belgique,3 254,2 776
10, Italie, Italie,8 936,8 687
11, Chine continentale, Chine continentale,10 510,11 282
12, Portugal, Portugal,1 846,1 885
13, Pologne    Allemagne, Pologne    Allemagne,3 311,3 402
14, Allemagne    Ri, Allemagne    Ri,5 161,5 322
15, Russie, Russie,1 571,-
16, Hongrie, Hongrie,1 606,1 419
17, Inde, Inde,5 113,5 604
18, Brésil, Brésil,2 196,2 108
19,,,2 196,1 787
20, République Tchèque, République Tchèque,1 868,1 787
21, Turquie, Turquie,2 388,2 353
22, Roumanie, Roumanie,1 654,1 595
23, Royaume-Uni, Royaume-Uni,1 610,1 402
24, Maroc, Maroc,1 020,693
25, Pays-Bas, Pays-Bas,1 647,1 646
26, Taïwan, Taïwan,916,930
27, Suisse, Suisse,918,1 022
28, Singapour, Singapour,751,776
29, Canada, Canada,942,912
30, Autres pays, Autres pays,10 718,10 014
