,BIEN-ÊTRE DES COÉQUIPIER·ÈRES,BIEN-ÊTRE DES COÉQUIPIER·ÈRES,2022,2023
0,PERMANENTS ET NON PERMANENTS (PÉRIMÈTRE MONDE),PERMANENTS ET NON PERMANENTS (PÉRIMÈTRE MONDE),,
1,Effectifs en contrats permanents (situation au 31/12) :,Effectifs en contrats permanents (situation au 31/12) :,84 336,80 427
2, % Europe, % Europe,n/a,56 229
3, % Asie, % Asie,n/a,15 731
4, % Afrique & Moyen-Orient, % Afrique & Moyen-Orient,n/a,4 171
5, % Amériques, % Amériques,n/a,4 047
6, % Océanie, % Océanie,n/a,249
7,% des effectifs en contrats permanents  (situation au 31/12),,"81,0 %","79,9 % (Note 86)"
8,Effectifs en contrats non permanents (situation au 31/12),Effectifs en contrats non permanents (situation au 31/12),14 479,14 274
9, % Europe, % Europe,n/a,8 749
10, % Asie, % Asie,n/a,4 072
11, % Afrique & Moyen-Orient, % Afrique & Moyen-Orient,n/a,931
12, % Amériques, % Amériques,n/a,509
13, % Océanie, % Océanie,n/a,13
14,% des effectifs en contrats non permanents (situation au 31/12),% des effectifs en contrats non permanents (situation au 31/12),"13,9 %","14,1 %"
15,% des effectifs en autres types de contrats (situation au 31/12) 5,% des effectifs en autres types de contrats (situation au 31/12) 5,"5,1 %","6,0 % (Note 87)"
