,BIEN-ÊTRE DES COÉQUIPIER·ÈRES.TURNOVER (PÉRIMÈTRE 22 PAYS/RÉGIONS),2022.,2023.
0,Taux de turnover sur les effectifs permanents  (du 01/01 au 31/12) :,,(Note 89
1, France,"21,1 %","20,8 %"
2, Espagne,"28,9 %","35,4 %"
3, Belgique,"16,1 %","19,1 %"
4, Italie,"10,7 %","10,1 %"
5, Chine continentale,"24,7 %","30,2 %"
6, Portugal,"21,8 %","19,8 %"
7, Pologne,"26,1 %","19,3 %"
8, Russie,"75,1 %",-
9, Allemagne,"55,6 %","50,2 %"
10, Hongrie,"28,8 %","32,2 %"
11, Inde,"55,0 %","45,0 %"
12, Brési,"44,1 %","47,3 %"
13, République Tchèque,"24,8 %","30,8 %"
14, Turquie,"65,2 %","60,9 %"
15, Roumanie,"23,9 %","28,8 %"
16, Royaume-Uni,"42,5 %","50,9 %"
17, Maroc,"67,6 %","80,0 %"
18, Pays-Bas,"38,2 %","25,8 %"
19, Mexique,"52,4 %","56,0 %"
20, Taïwan,"53,1 %","48,3 %"
21, Suisse,"31,5 %","18,9 %"
22, Singapou,"73,3 %","70,4 %"
23, Canada,"84,0 %","70,7 %"
24, Canada,"84,0 %","70,7 %"
