Date;Contrat de travail;Collège;Effectif
2010;Agents au statut;Cadres;24356
2011;Agents au statut;Maîtrise;43711
2012;Agents contractuels;Cadres;2204
2013;Agents au statut;Maîtrise;43529
2014;Agents au statut;Exécution roulant trains;7116
2014;Agents au statut;Exécution sédentaire;49365
2014;Agents au statut;Cadres supérieurs;1501
2014;Agents contractuels;Exécution roulant conduite;272
2014;Agents contractuels;Exécution roulant trains;410
2014;Agents contractuels;Exécution sédentaire;4702
2014;Agents contractuels;Maîtrise;3065
2015;Agents au statut;Exécution roulant conduite;13911
2015;Agents au statut;Maîtrise;42371
2015;Agents contractuels;Exécution sédentaire;5112
2016;Agents au statut;Exécution roulant trains;6670
2016;Agents au statut;Cadres supérieurs;1462
2017;Agents au statut;Cadres;25583
2017;Agents au statut;Maîtrise;40706
2017;Agents contractuels;Exécution roulant conduite;843
2018;Agents au statut;Cadres;25601
2018;Agents au statut;Exécution roulant conduite;13574
2018;Agents contractuels;Maîtrise;4240
2019;Agents au statut;Maîtrise;41016
2019;Agents contractuels;Cadres;4652
2020;Agents contractuels;Cadres supérieurs;841
2021;Agents contractuels;Cadres supérieurs;873
2022;Agents contractuels;Exécution;14429
2022;Agents contractuels;Cadres;6624
2023;Agents au statut;Maîtrise;49838
2023;Agents au statut;Cadres supérieurs;1871
2023;Agents contractuels;Cadres supérieurs;931
2011;Agents au statut;Exécution sédentaire;53781
2011;Agents contractuels;Exécution roulant conduite;156
2012;Agents au statut;Exécution roulant conduite;14689
2012;Agents au statut;Exécution sédentaire;52152
2013;Agents au statut;Cadres;25048
2013;Agents contractuels;Exécution roulant conduite;227
2014;Agents contractuels;Cadres;4129
2015;Agents au statut;Cadres;25298
2015;Agents contractuels;Cadres;4134
2015;Agents contractuels;Exécution roulant trains;547
2016;Agents au statut;Exécution roulant conduite;13878
2016;Agents au statut;Maîtrise;41517
2018;Agents au statut;Maîtrise;40089
2018;Agents contractuels;Exécution roulant trains;776
2019;Agents contractuels;Exécution roulant trains;829
2019;Agents contractuels;Maîtrise;4623
2020;Agents au statut;Maîtrise;40425
2021;Agents contractuels;Exécution roulant trains;675
2021;Agents contractuels;Exécution sédentaire;16881
2023;Agents au statut;Exécution;32833
2023;Agents contractuels;Exécution;17538
2010;Agents au statut;Cadres supérieurs;1466
2010;Agents contractuels;Maîtrise;1946
2011;Agents au statut;Exécution roulant conduite;15005
2011;Agents au statut;Exécution roulant trains;7516
2011;Agents au statut;Cadres supérieurs;1485
2011;Agents contractuels;Exécution sédentaire;4540
2012;Agents au statut;Maîtrise;43715
2012;Agents contractuels;Exécution roulant conduite;201
2012;Agents contractuels;Exécution sédentaire;4434
2013;Agents au statut;Exécution roulant conduite;14292
2013;Agents au statut;Exécution sédentaire;51344
2015;Agents au statut;Cadres supérieurs;1519
2015;Agents contractuels;Exécution roulant conduite;401
2015;Agents contractuels;Maîtrise;3250
2016;Agents au statut;Cadres;25230
2016;Agents au statut;Exécution sédentaire;45465
2016;Agents contractuels;Exécution roulant conduite;612
2016;Agents contractuels;Exécution roulant trains;715
2016;Agents contractuels;Maîtrise;3644
2017;Agents contractuels;Exécution roulant trains;800
2017;Agents contractuels;Exécution sédentaire;5672
2017;Agents contractuels;Maîtrise;3928
2018;Agents au statut;Exécution sédentaire;40582
2018;Agents au statut;Cadres supérieurs;1513
2018;Agents contractuels;Cadres;4774
2018;Agents contractuels;Exécution roulant conduite;922
2019;Agents au statut;Exécution sédentaire;40150
2020;Agents au statut;Exécution roulant trains;5865
2020;Agents au statut;Exécution sédentaire;36780
